date,max_temperature,avg_temperature,min_temperature,max_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_wind_speed,min_wind_speed,max_pressure_sea,avg_pressure_sea,min_pressure_sea,precipitation
1994-09-08,26.1,20.1,14.1,94,68.0,42,15.9,13.2,10.5,28,14.0,0,101.59,101.43,101.28,6.4
1994-09-09,22.5,14.8,7.1,94,68.0,42,13.5,9.8,6.0,26,13.0,0,102.11,101.75,101.39,0.0
1994-09-10,19.6,12.8,6.0,92,68.0,44,8.8,6.8,4.8,24,12.0,0,102.54,102.33,102.11,0.0
1994-09-11,20.5,13.25,6.0,93,70.0,47,9.3,6.8,4.4,20,11.0,2,102.71,102.54,102.38,0.0
1994-09-12,26.7,16.95,7.2,94,70.5,47,14.4,10.6,6.8,26,13.0,0,102.53,102.19,101.86,0.0
1994-09-13,26.7,21.85,17.0,93,70.5,48,19.1,16.4,13.7,22,13.0,4,101.89,101.58,101.28,11.8
1994-09-14,23.5,20.7,17.9,100,83.0,66,19.0,17.6,16.3,22,11.0,0,101.83,101.56,101.28,11.4
1994-09-15,20.0,17.95,15.9,91,80.5,70,17.2,15.2,13.2,22,11.0,0,101.89,101.73,101.57,1.0
1994-09-16,29.8,22.75,15.7,100,71.0,42,17.9,15.9,13.9,28,14.0,0,101.5,101.21,100.91,0.0
1994-09-17,24.3,17.45,10.6,96,78.0,60,19.3,14.4,9.6,33,20.0,7,101.33,101.05,100.77,0.0
1994-09-18,22.6,15.8,9.0,93,67.5,42,10.9,9.2,7.6,32,16.0,0,101.69,101.53,101.36,0.0
1994-09-19,22.4,15.25,8.1,89,64.5,40,9.3,7.8,6.4,24,14.0,4,102.1,101.86,101.63,0.0
1994-09-20,26.7,18.1,9.5,81,60.0,39,14.2,10.2,6.1,17,8.5,0,102.18,101.99,101.81,0.0
1994-09-21,24.5,17.45,10.4,94,68.5,43,14.5,11.9,9.4,19,9.5,0,102.16,102.02,101.87,0.0
1994-09-22,22.8,16.6,10.4,99,75.0,51,14.2,11.8,9.5,30,15.0,0,101.91,101.82,101.72,0.0
1994-09-23,21.9,16.14,10.4,96,76.5,57,14.8,12.2,9.6,22,11.0,0,101.84,101.7,101.57,0.0
1994-09-24,18.8,17.1,15.4,90,83.0,76,14.4,13.3,12.3,17,8.5,0,101.81,101.72,101.64,0.0
1994-09-25,20.9,17.85,14.8,94,83.5,73,16.6,15.0,13.4,17,9.5,2,101.64,101.28,100.91,10.0
1994-09-26,21.2,18.1,15.0,100,81.5,63,16.7,14.9,13.1,17,8.5,0,100.9,100.8,100.69,0.6
1994-09-27,20.5,16.25,12.0,100,82.5,65,16.3,13.7,11.0,22,11.0,0,100.76,100.5,100.23,2.2
1994-09-28,14.5,12.4,10.3,92,81.5,71,11.5,9.9,8.3,22,11.0,0,100.34,100.18,100.02,5.0
1994-09-29,16.0,11.25,6.5,83,65.5,48,8.6,5.5,2.5,33,22.0,11,101.36,100.75,100.14,0.0
1994-09-30,16.5,10.95,5.4,93,76.0,59,9.4,6.6,3.8,19,9.5,0,101.69,101.53,101.37,0.0
1994-10-01,13.3,9.19,5.1,100,86.5,73,11.0,8.1,5.1,19,9.5,0,101.45,101.17,100.89,5.6
1994-10-02,16.0,9.19,2.4,91,63.5,36,3.9,1.5,-0.9,24,12.0,0,102.2,101.79,101.38,0.0
1994-10-03,12.8,6.6,0.4,91,70.0,49,3.3,1.1,-1.0,22,11.0,0,102.27,102.15,102.04,0.0
1994-10-04,10.8,6.8,2.8,91,76.0,61,5.4,3.0,0.5,26,16.5,7,102.21,102.06,101.9,0.0
1994-10-05,13.2,8.0,2.8,85,65.0,45,4.1,1.6,-0.8,11,5.5,0,102.11,101.86,101.6,0.0
1994-10-06,19.4,12.7,6.0,85,65.5,46,7.8,5.0,2.3,19,9.5,0,102.09,101.92,101.76,0.0
1994-10-07,19.8,14.1,8.4,92,71.0,50,10.6,8.6,6.6,22,11.0,0,102.33,102.1,101.86,0.0
1994-10-08,23.8,17.6,11.4,94,76.0,58,15.0,12.6,10.2,26,13.0,0,101.88,101.39,100.91,0.0
